iter	Passed	Remaining
317	7336	15733
318	7361	15716
319	7381	15684
320	7386	15624
321	7406	15594
322	7423	15560
323	7446	15536
324	7470	15515
325	7492	15491
326	7512	15462
327	7539	15447
328	7560	15419
329	7587	15404
330	7617	15395
331	7643	15378
332	7673	15370
333	7694	15342
334	7732	15348
335	7753	15322
336	7779	15305
337	7806	15288
338	7833	15273
339	7854	15246
340	7873	15216
341	7902	15203
342	7923	15176
343	7956	15173
344	7985	15161
345	8017	15154
346	8065	15178
347	8104	15184
348	8128	15161
349	8151	15138
350	8181	15128
351	8208	15111
352	8242	15106
353	8273	15098
354	8313	15104
355	8358	15121
356	8365	15067
357	8394	15054
358	8422	15038
359	8441	15007
360	8475	15002
361	8491	14964
362	8514	14941
363	8537	14917
364	8573	14915
365	8610	14915
366	8626	14878
367	8649	14853
368	8684	14850
369	8723	14852
370	8744	14825
371	8780	14822
372	8800	14794
373	8818	14761
374	8852	14753
375	8875	14729
376	8903	14713
377	8939	14709
378	8984	14721
379	9017	14713
380	9050	14704
381	9081	14692
382	9116	14686
383	9145	14670
384	9175	14657
385	9199	14632
386	9222	14608
387	9238	14571
388	9267	14555
389	9301	14548
390	9319	14515
391	9346	14497
392	9387	14499
393	9411	14475
394	9437	14455
395	9456	14423
396	9508	14442
397	9538	14427
398	9561	14402
399	9611	14416
400	9650	14416
401	9679	14399
402	9689	14353
403	9722	14342
404	9744	14315
405	9785	14317
406	9823	14313
407	9842	14281
408	9864	14253
409	9888	14229
410	9931	14232
411	9967	14224
412	10011	14229
413	10072	14256
414	10117	14262
415	10127	14217
416	10145	14183
417	10185	14181
418	10237	14195
419	10279	14195
420	10310	14180
421	10336	14156
422	10364	14138
423	10389	14114
424	10422	14101
425	10462	14097
426	10503	14095
427	10538	14084
428	10569	14067
429	10611	14066
430	10641	14048
431	10687	14052
432	10731	14053
433	10789	14071
434	10821	14055
435	10856	14043
436	10885	14024
437	10906	13994
438	10941	13982
439	10967	13959
440	11003	13947
441	11038	13934
442	11058	13904
443	11086	13882
444	11108	13854
445	11131	13826
446	11166	13814
447	11194	13793
448	11231	13783
449	11254	13755
450	11275	13726
451	11319	13723
452	11342	13696
453	11390	13698
454	11442	13705
455	11471	13685
456	11504	13670
457	11536	13652
458	11556	13620
459	11579	13593
460	11605	13568
461	11631	13545
462	11654	13517
463	11673	13485
464	11700	13461
465	11726	13437
466	11744	13403
467	11758	13367
468	11786	13344
469	11806	13313
470	11837	13295
471	11859	13266
472	11877	13233
473	11907	13213
474	11929	13185
475	11952	13157
476	11975	13129
477	12002	13107
478	12025	13080
479	12048	13052
480	12071	13025
481	12094	12997
482	12116	12969
483	12138	12940
484	12163	12915
485	12189	12891
486	12227	12880
487	12254	12857
488	12290	12843
489	12312	12815
490	12334	12786
491	12357	12759
492	12377	12729
493	12396	12697
494	12431	12683
495	12453	12654
496	12488	12638
497	12516	12617
498	12537	12587
499	12565	12565
500	12590	12540
501	12627	12526
502	12652	12501
503	12672	12470
504	12702	12451
505	12729	12427
506	12758	12406
507	12788	12385
508	12821	12367
509	12844	12340
510	12871	12317
511	12892	12288
512	12914	12259
513	12955	12249
514	12980	12224
515	13003	12196
516	13050	12192
517	13078	12169
518	13099	12140
519	13147	12135
520	13176	12114
521	13201	12089
522	13247	12081
523	13280	12063
524	13317	12048
525	13346	12026
526	13380	12009
527	13422	11998
528	13464	11988
529	13518	11988
530	13553	11971
531	13602	11965
532	13638	11949
533	13669	11928
534	13735	11938
535	13807	11953
536	13866	11955
537	13904	11940
538	13935	11918
539	13995	11922
540	14029	11902
541	14067	11887
542	14105	11871
543	14125	11840
544	14170	11830
545	14261	11858
546	14291	11835
547	14312	11805
548	14373	11808
549	14429	11806
550	14462	11784
551	14532	11794
552	14570	11777
553	14593	11748
554	14624	11725
555	14645	11695
556	14667	11665
557	14694	11639
558	14715	11609
559	14749	11588
560	14769	11557
561	14790	11526
562	14816	11500
563	14844	11475
564	14865	11445
565	14888	11416
566	14914	11389
567	14946	11367
568	14970	11339
569	14991	11309
570	15010	11277
571	15045	11257
572	15076	11234
573	15093	11201
574	15123	11178
575	15141	11145
576	15161	11115
577	15185	11086
578	15211	11060
579	15233	11031
580	15263	11007
581	15293	10984
582	15312	10952
583	15329	10919
584	15352	10891
585	15376	10862
586	15396	10832
587	15416	10801
588	15431	10767
589	15446	10734
590	15467	10704
591	15494	10678
592	15516	10649
593	15535	10618
594	15561	10592
595	15588	10566
596	15619	10544
597	15646	10518
598	15670	10490
599	15689	10459
600	15714	10432
601	15742	10407
602	15761	10377
603	15793	10354
604	15811	10323
605	15835	10295
606	15858	10267
607	15883	10240
608	15908	10213
609	15932	10186
610	15958	10159
611	15974	10127
612	15997	10099
613	16024	10074
614	16058	10052
615	16082	10025
616	16100	9994
617	16119	9963
618	16145	9937
619	16170	9911
620	16188	9880
621	16211	9852
622	16232	9822
623	16254	9794
624	16281	9768
625	16303	9740
626	16337	9719
627	16363	9692
628	16383	9663
629	16411	9638
630	16441	9614
631	16471	9590
632	16498	9565
633	16520	9536
634	16543	9509
635	16565	9480
636	16586	9451
637	16602	9420
638	16629	9395
639	16651	9366
640	16675	9339
641	16699	9312
642	16717	9281
643	16743	9255
644	16762	9226
645	16783	9197
646	16805	9169
647	16838	9146
648	16859	9118
649	16894	9097
650	16917	9069
651	16943	9043
652	16970	9018
653	16987	8987
654	17010	8959
655	17029	8930
656	17052	8902
657	17076	8875
658	17098	8847
659	17124	8821
660	17151	8796
661	17172	8767
662	17189	8737
663	17213	8710
664	17238	8684
665	17258	8655
666	17282	8628
667	17307	8602
668	17329	8573
669	17351	8546
670	17375	8519
671	17390	8487
672	17416	8462
673	17438	8434
674	17467	8410
675	17489	8382
676	17511	8355
677	17537	8328
678	17564	8303
679	17589	8277
680	17620	8254
681	17645	8227
682	17675	8203
683	17698	8176
684	17717	8147
685	17741	8120
686	17762	8092
687	17783	8064
688	17816	8042
689	17847	8018
690	17897	8003
691	17925	7978
692	17947	7950
693	17969	7923
694	17999	7899
695	18042	7880
696	18087	7863
697	18129	7843
698	18168	7823
699	18189	7795
700	18223	7773
701	18250	7747
702	18268	7718
703	18297	7693
704	18318	7665
705	18342	7638
706	18362	7609
707	18386	7582
708	18416	7558
709	18437	7530
710	18460	7503
711	18486	7477
712	18502	7447
713	18532	7423
714	18552	7395
715	18573	7367
716	18596	7339
717	18620	7313
718	18650	7288
719	18669	7260
720	18687	7231
721	18708	7203
722	18732	7177
723	18767	7154
724	18791	7127
725	18817	7101
726	18839	7074
727	18859	7046
728	18885	7020
729	18917	6997
730	18948	6972
731	18969	6944
732	18995	6919
733	19026	6895
734	19050	6868
735	19081	6844
736	19110	6819
737	19143	6796
738	19175	6772
739	19196	6744
740	19221	6718
741	19249	6693
742	19279	6668
743	19309	6644
744	19330	6616
745	19362	6592
746	19380	6564
747	19409	6538
748	19436	6513
749	19465	6488
750	19494	6463
751	19516	6436
752	19538	6409
753	19556	6380
754	19582	6354
755	19606	6328
756	19628	6300
757	19653	6274
758	19684	6250
759	19711	6224
760	19733	6197
761	19764	6173
762	19783	6145
763	19808	6118
764	19824	6089
765	19849	6063
766	19881	6039
767	19900	6011
768	19919	5983
769	19939	5955
770	19961	5928
771	19986	5902
772	20015	5877
773	20046	5853
774	20077	5828
775	20092	5799
776	20123	5775
777	20153	5750
778	20171	5722
779	20200	5697
780	20216	5668
781	20234	5640
782	20254	5613
783	20280	5587
784	20303	5560
785	20323	5533
786	20347	5507
787	20374	5481
788	20388	5452
789	20423	5429
790	20439	5400
791	20461	5373
792	20476	5345
793	20501	5319
794	20516	5290
795	20547	5265
796	20569	5239
797	20587	5211
798	20612	5185
799	20636	5159
800	20656	5131
801	20681	5105
802	20701	5078
803	20724	5052
804	20748	5026
805	20769	4999
806	20791	4972
807	20816	4946
808	20840	4920
809	20861	4893
810	20885	4867
811	20919	4843
812	20951	4819
813	20972	4792
814	20998	4766
815	21020	4739
816	21044	4713
817	21067	4687
818	21087	4660
819	21111	4634
820	21135	4608
821	21159	4582
822	21186	4556
823	21214	4531
824	21235	4504
825	21261	4478
826	21285	4452
827	21313	4427
828	21342	4402
829	21377	4378
830	21400	4352
831	21416	4324
832	21434	4297
833	21464	4272
834	21489	4246
835	21512	4220
836	21532	4193
837	21550	4166
838	21575	4140
839	21589	4112
840	21616	4086
841	21633	4059
842	21657	4033
843	21685	4008
844	21717	3983
845	21747	3958
846	21773	3933
847	21801	3907
848	21820	3880
849	21843	3854
850	21866	3828
851	21885	3801
852	21907	3775
853	21932	3749
854	21950	3722
855	21969	3695
856	21989	3669
857	22012	3643
858	22028	3615
859	22051	3589
860	22070	3563
861	22099	3538
862	22125	3512
863	22139	3484
864	22166	3459
865	22191	3433
866	22209	3407
867	22238	3381
868	22265	3356
869	22281	3329
870	22303	3303
871	22327	3277
872	22348	3251
873	22372	3225
874	22395	3199
875	22420	3173
876	22444	3147
877	22471	3122
878	22493	3096
879	22519	3070
880	22541	3044
881	22561	3018
882	22581	2992
883	22603	2966
884	22626	2940
885	22646	2913
886	22664	2887
887	22691	2862
888	22713	2836
889	22739	2810
890	22766	2785
891	22791	2759
892	22813	2733
893	22841	2708
894	22864	2682
895	22888	2656
896	22907	2630
897	22935	2605
898	22961	2579
899	22986	2554
900	23010	2528
901	23030	2502
902	23059	2477
903	23082	2451
904	23105	2425
905	23122	2399
906	23147	2373
907	23178	2348
908	23201	2322
909	23233	2297
910	23256	2272
911	23279	2246
912	23308	2221
913	23343	2196
914	23358	2169
915	23376	2143
916	23397	2117
917	23415	2091
918	23432	2065
919	23451	2039
920	23477	2013
921	23508	1988
922	23540	1963
923	23558	1937
924	23573	1911
925	23592	1885
926	23608	1859
927	23631	1833
928	23657	1808
929	23683	1782
930	23708	1757
931	23738	1732
932	23772	1707
933	23807	1682
934	23829	1656
935	23854	1631
936	23875	1605
937	23897	1579
938	23919	1553
939	23943	1528
940	23981	1503
941	24005	1478
942	24032	1452
943	24057	1427
944	24081	1401
945	24105	1376
946	24127	1350
947	24144	1324
948	24168	1298
949	24191	1273
950	24207	1247
951	24229	1221
952	24253	1196
953	24282	1170
954	24306	1145
955	24331	1119
956	24352	1094
957	24376	1068
958	24393	1042
959	24418	1017
960	24439	991
961	24457	966
962	24480	940
963	24503	915
964	24525	889
965	24553	864
966	24573	838
967	24592	812
968	24613	787
969	24630	761
970	24646	736
971	24666	710
972	24685	685
973	24700	659
974	24724	633
975	24742	608
976	24768	583
977	24795	557
978	24824	532
979	24845	507
980	24869	481
981	24892	456
982	24949	431
983	25022	406
984	25088	382
985	25135	356
986	25177	331
987	25193	305
988	25217	280
989	25240	254
990	25266	229
991	25289	203
992	25304	178
993	25323	152
994	25348	127
995	25362	101
996	25387	76
997	25404	50
998	25427	25
999	25455	0
