iter	RMSE
429	1.982970454
430	1.982962544
431	1.982955855
432	1.982947529
433	1.982706503
434	1.982539779
435	1.982326349
436	1.982069701
437	1.981845351
438	1.981769259
439	1.981637079
440	1.981629613
441	1.981465045
442	1.981464605
443	1.9813337
444	1.98108288
445	1.981081394
446	1.981077674
447	1.980936171
448	1.980751168
449	1.980517491
450	1.980377885
451	1.980322463
452	1.98032065
453	1.980200619
454	1.979986881
455	1.979843158
456	1.9795783
457	1.979481357
458	1.979322604
459	1.979199399
460	1.979190057
461	1.978974359
462	1.978762133
463	1.978567239
464	1.978559761
465	1.978251941
466	1.978251147
467	1.978250039
468	1.978023687
469	1.97800631
470	1.977863984
471	1.977854268
472	1.977839056
473	1.97761119
474	1.977459249
475	1.977217144
476	1.97708865
477	1.976996496
478	1.976869666
479	1.976761619
480	1.976754628
481	1.976545553
482	1.976403334
483	1.976200509
484	1.976082254
485	1.976069561
486	1.976026346
487	1.97588867
488	1.975885463
489	1.975884115
490	1.975879269
491	1.975878854
492	1.975797258
493	1.975785679
494	1.975771839
495	1.975587954
496	1.975389228
497	1.975245238
498	1.975173213
499	1.975041474
500	1.974906888
501	1.974866101
502	1.9746005
503	1.974460523
504	1.974458736
505	1.974387025
506	1.974378374
507	1.974371546
508	1.974273862
509	1.974112874
510	1.974025118
511	1.973942114
512	1.973929185
513	1.973922592
514	1.973849677
515	1.973651853
516	1.973534637
517	1.973450668
518	1.973254572
519	1.973031247
520	1.973022634
521	1.972897612
522	1.972889467
523	1.972746457
524	1.972597964
525	1.972446469
526	1.972241188
527	1.972225224
528	1.972052537
529	1.971851899
530	1.97171042
531	1.971708758
532	1.971614477
533	1.97140379
534	1.971272619
535	1.97124825
536	1.971239296
537	1.971128357
538	1.971127384
539	1.971126174
540	1.970994639
541	1.970993817
542	1.970803918
543	1.97072854
544	1.970680655
545	1.970528529
546	1.970406489
547	1.970296981
548	1.970189519
549	1.97018566
550	1.970017501
551	1.969838112
552	1.969700411
553	1.969597341
554	1.969597102
555	1.969365814
556	1.969138853
557	1.96897238
558	1.968745303
559	1.968717848
560	1.968638203
561	1.968452187
562	1.968396136
563	1.968376538
564	1.968375953
565	1.968188445
566	1.96818035
567	1.968115152
568	1.968103101
569	1.968083776
570	1.968083121
571	1.967943986
572	1.967752442
573	1.967621033
574	1.967493992
575	1.96737302
576	1.96718778
577	1.967083336
578	1.966982655
579	1.966809476
580	1.96659295
581	1.966386659
582	1.966181483
583	1.966117814
584	1.966115132
585	1.96605163
586	1.965928678
587	1.965730453
588	1.965729611
589	1.96572281
590	1.965633986
591	1.965610957
592	1.965592163
593	1.965448335
594	1.965374194
595	1.965365224
596	1.965246545
597	1.9652439
598	1.96511284
599	1.965070872
600	1.965057376
601	1.964971497
602	1.964930991
603	1.964926198
604	1.964782749
605	1.964653556
606	1.9645615
607	1.964514936
608	1.964508749
609	1.964409072
610	1.964398725
611	1.96425613
612	1.964209919
613	1.964132593
614	1.964126593
615	1.96412606
616	1.964052798
617	1.964052601
618	1.964042682
619	1.964032056
620	1.964006429
621	1.963786736
622	1.963669913
623	1.963543504
624	1.963393688
625	1.963384452
626	1.963329287
627	1.963178658
628	1.963057284
629	1.962864694
630	1.962854071
631	1.962847363
632	1.962669215
633	1.962499316
634	1.962250555
635	1.962111363
636	1.961968173
637	1.961967261
638	1.96188456
639	1.961705964
640	1.961613537
641	1.961588778
642	1.961518123
643	1.961407449
644	1.961256138
645	1.961129956
646	1.960986318
647	1.960979955
648	1.96091897
649	1.960915442
650	1.960714536
651	1.96051515
652	1.960347598
653	1.960332812
654	1.960205881
655	1.960025519
656	1.959778751
657	1.959762177
658	1.959570518
659	1.959481609
660	1.959455671
661	1.959451445
662	1.959447669
663	1.959335906
664	1.959250771
665	1.959248557
666	1.959047156
667	1.958904603
668	1.958839769
669	1.958750328
670	1.958685514
671	1.958673455
672	1.958518093
673	1.958330488
674	1.958254982
675	1.957992483
676	1.957718095
677	1.957710912
678	1.95765676
679	1.957652369
680	1.957644604
681	1.957634969
682	1.95763118
683	1.957422996
684	1.957297573
685	1.957130947
686	1.957052813
687	1.957048103
688	1.956886131
689	1.956803248
690	1.956793807
691	1.956620425
692	1.956561052
693	1.956556381
694	1.95643977
695	1.956427421
696	1.956396487
697	1.956384455
698	1.956326883
699	1.95631718
700	1.956224488
701	1.95622142
702	1.955964353
703	1.955777315
704	1.95573679
705	1.955646314
706	1.955360868
707	1.955233702
708	1.955202272
709	1.955123061
710	1.955051866
711	1.954915714
712	1.954907141
713	1.954846526
714	1.954693769
715	1.954638066
716	1.954545646
717	1.9543843
718	1.954143423
719	1.953967493
720	1.953962851
721	1.953781425
722	1.953734323
723	1.953618577
724	1.953610433
725	1.95360727
726	1.953504992
727	1.953362651
728	1.9532277
729	1.953215809
730	1.953090444
731	1.95308219
732	1.952938908
733	1.952788043
734	1.952780881
735	1.952630824
736	1.952626089
737	1.952514753
738	1.952431345
739	1.95234886
740	1.952226077
741	1.952156133
742	1.952149037
743	1.952098031
744	1.952062839
745	1.952028648
746	1.951809586
747	1.951785854
748	1.951668186
749	1.951626105
750	1.951543916
751	1.951505248
752	1.951496309
753	1.951348582
754	1.951220607
755	1.951216933
756	1.951094366
757	1.951018278
758	1.951008701
759	1.950943845
760	1.950904037
761	1.950761179
762	1.950598124
763	1.950490221
764	1.950385719
765	1.950225167
766	1.950181705
767	1.950098458
768	1.94987305
769	1.949795364
770	1.949687438
771	1.949564916
772	1.949501767
773	1.949469034
774	1.949281812
775	1.94927957
776	1.94921567
777	1.949122624
778	1.948924401
779	1.948832286
780	1.948830762
781	1.94876912
782	1.948659277
783	1.948469761
784	1.948376907
785	1.948373202
786	1.948258795
787	1.948009642
788	1.94800747
789	1.947799171
790	1.947797354
791	1.947677769
792	1.947667596
793	1.947558538
794	1.947557722
795	1.947389719
796	1.94725646
797	1.947151888
798	1.94704606
799	1.946844418
800	1.946843458
801	1.946693219
802	1.946628502
803	1.946562838
804	1.946453479
805	1.946326247
806	1.946297047
807	1.946289687
808	1.945985991
809	1.945813829
810	1.945720873
811	1.945611212
812	1.945609917
813	1.945502064
814	1.94549007
815	1.945473602
816	1.945331936
817	1.945325386
818	1.945197784
819	1.945190588
820	1.945080617
821	1.945035511
822	1.944977368
823	1.944852587
824	1.94475575
825	1.94468533
826	1.94459188
827	1.944579186
828	1.944453746
829	1.944317266
830	1.944301711
831	1.944087831
832	1.94408625
833	1.94403478
834	1.943788816
835	1.943678217
836	1.943574342
837	1.943390567
838	1.943365368
839	1.943199782
840	1.943129069
841	1.942914655
842	1.942912106
843	1.942833895
844	1.942720854
845	1.942630565
846	1.942589145
847	1.942494529
848	1.942362872
849	1.942299652
850	1.942134188
851	1.941907964
852	1.94177739
853	1.941725455
854	1.941716584
855	1.941655534
856	1.941591604
857	1.941591139
858	1.9415639
859	1.941427131
860	1.941333501
861	1.941293027
862	1.941274735
863	1.941265645
864	1.941255082
865	1.941194813
866	1.941179056
867	1.941003174
868	1.940887036
869	1.940770397
870	1.940568005
871	1.940564153
872	1.94043904
873	1.940215001
874	1.940115559
875	1.940111989
876	1.940038221
877	1.939940461
878	1.939698362
879	1.939645603
880	1.939561132
881	1.939496703
882	1.939379323
883	1.939217042
884	1.939169783
885	1.939083597
886	1.938925447
887	1.93891435
888	1.938720732
889	1.938547218
890	1.938452289
891	1.938449747
892	1.938385759
893	1.938378528
894	1.938307093
895	1.938298167
896	1.938092723
897	1.937960676
898	1.937900123
899	1.937806849
900	1.937640113
901	1.937638843
902	1.937542403
903	1.937493048
904	1.93746699
905	1.937433492
906	1.937393072
907	1.937237857
908	1.937174054
909	1.936982372
910	1.936908483
911	1.936848423
912	1.936816826
913	1.936803951
914	1.936800114
915	1.936704901
916	1.936704427
917	1.936523964
918	1.936358963
919	1.93621978
920	1.936041387
921	1.935964633
922	1.935826443
923	1.935764017
924	1.935709827
925	1.93567133
926	1.935611712
927	1.935569415
928	1.935545527
929	1.935542003
930	1.935491301
931	1.935341051
932	1.935315939
933	1.935194052
934	1.935136202
935	1.935046461
936	1.93486311
937	1.934812185
938	1.934764397
939	1.93464287
940	1.934606039
941	1.934493643
942	1.934424103
943	1.934420521
944	1.934374112
945	1.934335786
946	1.934334137
947	1.934331887
948	1.934278268
949	1.934277135
950	1.934242071
951	1.934124663
952	1.933933333
953	1.933853647
954	1.933664685
955	1.933602582
956	1.933498852
957	1.93340528
958	1.933403881
959	1.933397401
960	1.933265936
961	1.93326546
962	1.933109383
963	1.933076658
964	1.93306056
965	1.932934623
966	1.932934449
967	1.932914316
968	1.932747937
969	1.93271768
970	1.932713134
971	1.932652106
972	1.932560568
973	1.932545456
974	1.932539197
975	1.932535757
976	1.932433641
977	1.932372928
978	1.932305304
979	1.932244913
980	1.932190005
981	1.932180274
982	1.932178564
983	1.932096132
984	1.932018515
985	1.931984369
986	1.931876793
987	1.931860249
988	1.931818047
989	1.931748011
990	1.931499191
991	1.931479595
992	1.931419446
993	1.931278186
994	1.931225838
995	1.931217043
996	1.931213895
997	1.93113354
998	1.931067587
999	1.931059681
